name,slug,price,store,category,description,gender,scent_profile,size_ml,in_stock,is_featured,digital
White Shadow,white-shadow,551,Default Luxe Store,Room Spray,Experience the white allure of Shadow. A masterfully crafted floral fragrance that evokes natural beauty.,U,fresh,200,TRUE,TRUE,FALSE
Imperial Elegance,imperial-elegance,209,Default Luxe Store,Body Mist,Experience the imperial allure of Elegance. A masterfully crafted citrus fragrance that evokes modern sophistication.,W,citrus,50,TRUE,FALSE,FALSE
Black Bloom,black-bloom,792,Default Luxe Store,Perfumes,Experience the black allure of Bloom. A masterfully crafted floral fragrance that evokes modern sophistication.,M,woody,30,TRUE,FALSE,FALSE
Desert Dream,desert-dream,928,Default Luxe Store,Body Mist,Experience the desert allure of Dream. A masterfully crafted oriental fragrance that evokes modern sophistication.,M,floral,150,TRUE,FALSE,FALSE
Aqua Soul,aqua-soul,332,Default Luxe Store,Perfumes,Experience the aqua allure of Soul. A masterfully crafted oriental fragrance that evokes bold confidence.,W,citrus,150,TRUE,FALSE,FALSE
Golden Essence,golden-essence,935,Default Luxe Store,Room Spray,Experience the golden allure of Essence. A masterfully crafted floral fragrance that evokes natural beauty.,U,woody,100,TRUE,FALSE,FALSE
Black Rose,black-rose,704,Default Luxe Store,Perfumes,Experience the black allure of Rose. A masterfully crafted aquatic fragrance that evokes modern sophistication.,M,citrus,30,TRUE,FALSE,FALSE
Royal Rose,royal-rose,936,Default Luxe Store,Body Mist,Experience the royal allure of Rose. A masterfully crafted aquatic fragrance that evokes modern sophistication.,M,citrus,50,TRUE,TRUE,FALSE
Velvet Diamond,velvet-diamond,487,Default Luxe Store,Body Mist,Experience the velvet allure of Diamond. A masterfully crafted oriental fragrance that evokes natural beauty.,M,fresh,150,TRUE,TRUE,FALSE
Eternal Pearl,eternal-pearl,255,Default Luxe Store,Body Mist,Experience the eternal allure of Pearl. A masterfully crafted citrus fragrance that evokes bold confidence.,U,woody,150,TRUE,FALSE,FALSE
White Obsession,white-obsession,1060,Default Luxe Store,Body Mist,Experience the white allure of Obsession. A masterfully crafted fresh fragrance that evokes modern sophistication.,U,floral,200,TRUE,FALSE,FALSE
Solar Spirit,solar-spirit,311,Default Luxe Store,Body Mist,Experience the solar allure of Spirit. A masterfully crafted citrus fragrance that evokes modern sophistication.,U,oriental,30,TRUE,FALSE,FALSE
Radiant Essence,radiant-essence,471,Default Luxe Store,Body Mist,Experience the radiant allure of Essence. A masterfully crafted aquatic fragrance that evokes bold confidence.,U,aquatic,50,TRUE,FALSE,FALSE
Oceanic Elegance,oceanic-elegance,898,Default Luxe Store,Perfumes,Experience the oceanic allure of Elegance. A masterfully crafted oriental fragrance that evokes timeless elegance.,M,oriental,30,TRUE,TRUE,FALSE
Imperial Breeze,imperial-breeze,960,Default Luxe Store,Body Mist,Experience the imperial allure of Breeze. A masterfully crafted musky fragrance that evokes modern sophistication.,M,floral,200,TRUE,FALSE,FALSE
