name,slug,category,brand,price,in_stock,image_external_url,description,gender,scent_profile,size_ml
Golden Rose,golden-rose,Bath,Byredo,586,1,https://images.unsplash.com/photo-1596462502278-27bfdc4033c8?auto=format&fit=crop&w=800&q=80,Experience the essence of Golden Rose. A premium fragrance by Byredo featuring top notes of citrus and base notes of luxury.,U,oriental,50
Midnight Oud,midnight-oud,Watches,Creed,572,1,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?auto=format&fit=crop&w=800&q=80,Experience the essence of Midnight Oud. A premium fragrance by Creed featuring top notes of musky and base notes of luxury.,W,musky,50
Classic  Musk,classic--musk,Fragrance,Roja,217,1,https://images.unsplash.com/photo-1541643600914-78b084683601?auto=format&fit=crop&w=800&q=80,Experience the essence of Classic  Musk. A premium fragrance by Roja featuring top notes of aquatic and base notes of luxury.,M,woody,150
Imperial Rose,imperial-rose,Watches,Xerjoff,499,1,https://images.unsplash.com/photo-1620121692029-d088224ddc74?auto=format&fit=crop&w=800&q=80,Experience the essence of Imperial Rose. A premium fragrance by Xerjoff featuring top notes of aquatic and base notes of luxury.,U,musky,50
Mystic Cedar,mystic-cedar,Bath,Roja,920,1,https://images.unsplash.com/photo-1620121692029-d088224ddc74?auto=format&fit=crop&w=800&q=80,Experience the essence of Mystic Cedar. A premium fragrance by Roja featuring top notes of musky and base notes of luxury.,M,woody,50
Velvet Spirit,velvet-spirit,Accessories,Tom Ford,1186,1,https://images.unsplash.com/photo-1616948055600-43add1b7eeaa?auto=format&fit=crop&w=800&q=80,Experience the essence of Velvet Spirit. A premium fragrance by Tom Ford featuring top notes of oriental and base notes of luxury.,M,oriental,100
Golden Amber,golden-amber,Bath,Xerjoff,533,1,https://images.unsplash.com/photo-1583467875263-d50dec37a88c?auto=format&fit=crop&w=800&q=80,Experience the essence of Golden Amber. A premium fragrance by Xerjoff featuring top notes of citrus and base notes of luxury.,U,fresh,150
Noble Cedar,noble-cedar,Bath,The Maison,1022,1,https://images.unsplash.com/photo-1512789675414-eb146ffe08d6?auto=format&fit=crop&w=800&q=80,Experience the essence of Noble Cedar. A premium fragrance by The Maison featuring top notes of woody and base notes of luxury.,W,oriental,200
Noble Spirit,noble-spirit,Bath,Amouage,1279,1,https://images.unsplash.com/photo-1541643600914-78b084683601?auto=format&fit=crop&w=800&q=80,Experience the essence of Noble Spirit. A premium fragrance by Amouage featuring top notes of aquatic and base notes of luxury.,M,woody,150
Velvet Cedar,velvet-cedar,Bath,Xerjoff,235,1,https://images.unsplash.com/photo-1616948055600-43add1b7eeaa?auto=format&fit=crop&w=800&q=80,Experience the essence of Velvet Cedar. A premium fragrance by Xerjoff featuring top notes of oriental and base notes of luxury.,W,citrus,200
Golden Spirit,golden-spirit,Watches,Tom Ford,280,1,https://images.unsplash.com/photo-1594035910387-fea47794261f?auto=format&fit=crop&w=800&q=80,Experience the essence of Golden Spirit. A premium fragrance by Tom Ford featuring top notes of floral and base notes of luxury.,W,musky,100
Noble Jasmin,noble-jasmin,Fragrance,Roja,1433,1,https://images.unsplash.com/photo-1512789675414-eb146ffe08d6?auto=format&fit=crop&w=800&q=80,Experience the essence of Noble Jasmin. A premium fragrance by Roja featuring top notes of oriental and base notes of luxury.,M,fresh,150
Mystic Vanilla,mystic-vanilla,Watches,Byredo,435,1,https://images.unsplash.com/photo-1594035910387-fea47794261f?auto=format&fit=crop&w=800&q=80,Experience the essence of Mystic Vanilla. A premium fragrance by Byredo featuring top notes of citrus and base notes of luxury.,U,fresh,100
Velvet Amber,velvet-amber,Watches,The Maison,763,1,https://images.unsplash.com/photo-1616948055600-43add1b7eeaa?auto=format&fit=crop&w=800&q=80,Experience the essence of Velvet Amber. A premium fragrance by The Maison featuring top notes of oriental and base notes of luxury.,W,floral,150
Eternal Leather,eternal-leather,Bath,Amouage,1414,1,https://images.unsplash.com/photo-1541643600914-78b084683601?auto=format&fit=crop&w=800&q=80,Experience the essence of Eternal Leather. A premium fragrance by Amouage featuring top notes of woody and base notes of luxury.,W,musky,150
Royal Sandalwood,royal-sandalwood,Watches,Xerjoff,859,1,https://images.unsplash.com/photo-1596462502278-27bfdc4033c8?auto=format&fit=crop&w=800&q=80,Experience the essence of Royal Sandalwood. A premium fragrance by Xerjoff featuring top notes of aquatic and base notes of luxury.,M,citrus,50
Pure Oud,pure-oud,Accessories,The Maison,1367,1,https://images.unsplash.com/photo-1592945403244-b3fbafd7f539?auto=format&fit=crop&w=800&q=80,Experience the essence of Pure Oud. A premium fragrance by The Maison featuring top notes of aquatic and base notes of luxury.,W,fresh,150
Golden Leather,golden-leather,Fragrance,Roja,1099,1,https://images.unsplash.com/photo-1547887539-77569f69707b?auto=format&fit=crop&w=800&q=80,Experience the essence of Golden Leather. A premium fragrance by Roja featuring top notes of musky and base notes of luxury.,W,oriental,200
Royal Cedar,royal-cedar,Fragrance,Xerjoff,1051,1,https://images.unsplash.com/photo-1512789675414-eb146ffe08d6?auto=format&fit=crop&w=800&q=80,Experience the essence of Royal Cedar. A premium fragrance by Xerjoff featuring top notes of aquatic and base notes of luxury.,U,citrus,150
Royal Spirit,royal-spirit,Accessories,Killian,854,1,https://images.unsplash.com/photo-1547887539-77569f69707b?auto=format&fit=crop&w=800&q=80,Experience the essence of Royal Spirit. A premium fragrance by Killian featuring top notes of woody and base notes of luxury.,U,woody,150
Eternal Cedar,eternal-cedar,Watches,Killian,1291,1,https://images.unsplash.com/photo-1594035910387-fea47794261f?auto=format&fit=crop&w=800&q=80,Experience the essence of Eternal Cedar. A premium fragrance by Killian featuring top notes of musky and base notes of luxury.,W,fresh,150
Imperial  Musk,imperial--musk,Accessories,Byredo,510,1,https://images.unsplash.com/photo-1596462502278-27bfdc4033c8?auto=format&fit=crop&w=800&q=80,Experience the essence of Imperial  Musk. A premium fragrance by Byredo featuring top notes of woody and base notes of luxury.,W,aquatic,150
Classic Spirit,classic-spirit,Accessories,Byredo,1463,1,https://images.unsplash.com/photo-1592945403244-b3fbafd7f539?auto=format&fit=crop&w=800&q=80,Experience the essence of Classic Spirit. A premium fragrance by Byredo featuring top notes of oriental and base notes of luxury.,U,aquatic,150
Pure Leather,pure-leather,Watches,Amouage,1491,1,https://images.unsplash.com/photo-1616948055600-43add1b7eeaa?auto=format&fit=crop&w=800&q=80,Experience the essence of Pure Leather. A premium fragrance by Amouage featuring top notes of citrus and base notes of luxury.,U,fresh,150
Noble Sandalwood,noble-sandalwood,Accessories,Amouage,1219,1,https://images.unsplash.com/photo-1583467875263-d50dec37a88c?auto=format&fit=crop&w=800&q=80,Experience the essence of Noble Sandalwood. A premium fragrance by Amouage featuring top notes of citrus and base notes of luxury.,M,musky,200
Velvet Sandalwood,velvet-sandalwood,Fragrance,Tom Ford,681,1,https://images.unsplash.com/photo-1541643600914-78b084683601?auto=format&fit=crop&w=800&q=80,Experience the essence of Velvet Sandalwood. A premium fragrance by Tom Ford featuring top notes of fresh and base notes of luxury.,M,oriental,200
Classic Amber,classic-amber,Accessories,Tom Ford,217,1,https://images.unsplash.com/photo-1541643600914-78b084683601?auto=format&fit=crop&w=800&q=80,Experience the essence of Classic Amber. A premium fragrance by Tom Ford featuring top notes of oriental and base notes of luxury.,U,aquatic,150
Midnight Leather,midnight-leather,Accessories,Roja,233,1,https://images.unsplash.com/photo-1620121692029-d088224ddc74?auto=format&fit=crop&w=800&q=80,Experience the essence of Midnight Leather. A premium fragrance by Roja featuring top notes of citrus and base notes of luxury.,U,woody,150
Midnight Amber,midnight-amber,Fragrance,Amouage,283,1,https://images.unsplash.com/photo-1541643600914-78b084683601?auto=format&fit=crop&w=800&q=80,Experience the essence of Midnight Amber. A premium fragrance by Amouage featuring top notes of woody and base notes of luxury.,W,musky,200
Mystic Spirit,mystic-spirit,Bath,Amouage,1465,1,https://images.unsplash.com/photo-1512789675414-eb146ffe08d6?auto=format&fit=crop&w=800&q=80,Experience the essence of Mystic Spirit. A premium fragrance by Amouage featuring top notes of musky and base notes of luxury.,W,aquatic,50
Eternal Rose,eternal-rose,Accessories,The Maison,1203,1,https://images.unsplash.com/photo-1594035910387-fea47794261f?auto=format&fit=crop&w=800&q=80,Experience the essence of Eternal Rose. A premium fragrance by The Maison featuring top notes of woody and base notes of luxury.,M,musky,50
Midnight Spirit,midnight-spirit,Accessories,Byredo,1277,1,https://images.unsplash.com/photo-1541643600914-78b084683601?auto=format&fit=crop&w=800&q=80,Experience the essence of Midnight Spirit. A premium fragrance by Byredo featuring top notes of fresh and base notes of luxury.,W,musky,50
Golden  Musk,golden--musk,Accessories,The Maison,1403,1,https://images.unsplash.com/photo-1594035910387-fea47794261f?auto=format&fit=crop&w=800&q=80,Experience the essence of Golden  Musk. A premium fragrance by The Maison featuring top notes of oriental and base notes of luxury.,M,oriental,50
