name,slug,category,brand,price,in_stock,image_external_url,description,gender,scent_profile,size_ml
Imperial Spirit,imperial-spirit,Fragrance,Roja,1327,1,https://images.pexels.com/photos/5490778/pexels-photo-5490778.jpeg,Experience the essence of Imperial Spirit. A premium fragrance by Roja featuring top notes of musky and base notes of luxury.,W,woody,200
Noble Spirit,noble-spirit,Watches,Killian,841,1,https://images.pexels.com/photos/3752109/pexels-photo-3752109.jpeg,Experience the essence of Noble Spirit. A premium fragrance by Killian featuring top notes of aquatic and base notes of luxury.,W,woody,150
Mystic Leather,mystic-leather,Accessories,Xerjoff,728,1,https://images.pexels.com/photos/965989/pexels-photo-965989.jpeg,Experience the essence of Mystic Leather. A premium fragrance by Xerjoff featuring top notes of woody and base notes of luxury.,W,aquatic,50
Velvet Oud,velvet-oud,Watches,Creed,721,1,https://images.pexels.com/photos/4465124/pexels-photo-4465124.jpeg,Experience the essence of Velvet Oud. A premium fragrance by Creed featuring top notes of musky and base notes of luxury.,U,fresh,200
Mystic Cedar,mystic-cedar,Fragrance,Killian,1383,1,https://images.pexels.com/photos/5490778/pexels-photo-5490778.jpeg,Experience the essence of Mystic Cedar. A premium fragrance by Killian featuring top notes of citrus and base notes of luxury.,U,oriental,100
Noble Cedar,noble-cedar,Accessories,Killian,1362,1,https://images.pexels.com/photos/4041392/pexels-photo-4041392.jpeg,Experience the essence of Noble Cedar. A premium fragrance by Killian featuring top notes of fresh and base notes of luxury.,M,fresh,200
Velvet Rose,velvet-rose,Accessories,Amouage,854,1,https://images.pexels.com/photos/965989/pexels-photo-965989.jpeg,Experience the essence of Velvet Rose. A premium fragrance by Amouage featuring top notes of musky and base notes of luxury.,W,woody,150
Royal Jasmin,royal-jasmin,Fragrance,Xerjoff,1319,1,https://images.pexels.com/photos/3059609/pexels-photo-3059609.jpeg,Experience the essence of Royal Jasmin. A premium fragrance by Xerjoff featuring top notes of musky and base notes of luxury.,U,fresh,100
Classic  Musk,classic--musk,Bath,Killian,748,1,https://images.pexels.com/photos/1556706/pexels-photo-1556706.jpeg,Experience the essence of Classic  Musk. A premium fragrance by Killian featuring top notes of floral and base notes of luxury.,M,citrus,200
Noble Vanilla,noble-vanilla,Accessories,Roja,654,1,https://images.pexels.com/photos/1961795/pexels-photo-1961795.jpeg,Experience the essence of Noble Vanilla. A premium fragrance by Roja featuring top notes of floral and base notes of luxury.,W,aquatic,50
Imperial Rose,imperial-rose,Fragrance,Killian,1250,1,https://images.pexels.com/photos/4041392/pexels-photo-4041392.jpeg,Experience the essence of Imperial Rose. A premium fragrance by Killian featuring top notes of citrus and base notes of luxury.,M,oriental,200
Imperial Cedar,imperial-cedar,Fragrance,Creed,387,1,https://images.pexels.com/photos/2587370/pexels-photo-2587370.jpeg,Experience the essence of Imperial Cedar. A premium fragrance by Creed featuring top notes of floral and base notes of luxury.,U,aquatic,150
Noble Oud,noble-oud,Bath,Creed,634,1,https://images.pexels.com/photos/1190297/pexels-photo-1190297.jpeg,Experience the essence of Noble Oud. A premium fragrance by Creed featuring top notes of citrus and base notes of luxury.,M,woody,50
Noble Rose,noble-rose,Watches,Amouage,1272,1,https://images.pexels.com/photos/4041392/pexels-photo-4041392.jpeg,Experience the essence of Noble Rose. A premium fragrance by Amouage featuring top notes of floral and base notes of luxury.,W,fresh,50
Mystic  Musk,mystic--musk,Watches,Amouage,522,1,https://images.pexels.com/photos/1190297/pexels-photo-1190297.jpeg,Experience the essence of Mystic  Musk. A premium fragrance by Amouage featuring top notes of woody and base notes of luxury.,M,musky,100
Pure Leather,pure-leather,Accessories,The Maison,288,1,https://images.pexels.com/photos/1190297/pexels-photo-1190297.jpeg,Experience the essence of Pure Leather. A premium fragrance by The Maison featuring top notes of floral and base notes of luxury.,W,woody,150
Classic Jasmin,classic-jasmin,Fragrance,Byredo,1008,1,https://images.pexels.com/photos/1556706/pexels-photo-1556706.jpeg,Experience the essence of Classic Jasmin. A premium fragrance by Byredo featuring top notes of citrus and base notes of luxury.,W,aquatic,50
